activation1,activation2,mae,mse,execution_time
linear,linear,4545.750564630868,45643932.42181983,23.44200849533081
linear,relu,4043.8751788892346,39025957.370388545,22.820717096328735
linear,sigmoid,20537.417097860856,926953459.5641778,21.764081954956055
linear,tanh,20425.7187946382,922377946.7903066,21.754906177520752
linear,softplus,4068.5636209508575,37463077.11394166,22.274142026901245
relu,linear,3855.478973320616,35540298.75345375,22.248258113861084
relu,relu,3737.8783817184667,33255126.072600458,22.08719563484192
relu,sigmoid,20499.448683554216,925395354.8423429,22.82594323158264
relu,tanh,20426.157637411638,922395874.3410602,26.16229772567749
relu,softplus,3672.5728234455846,32694289.58903187,24.583843231201172
sigmoid,linear,3600.4454996403697,33553400.635365322,24.45565629005432
sigmoid,relu,3563.8197885858035,32076414.79820588,22.621775150299072
sigmoid,sigmoid,20499.99565010695,925417780.1670742,23.9486563205719
sigmoid,tanh,20426.07896309523,922392660.3192723,24.083701848983765
sigmoid,softplus,3439.697984895405,29992878.941232562,23.66706943511963
tanh,linear,3405.407478630784,29355222.94470372,23.634907722473145
tanh,relu,3568.985044599525,31901179.485637706,25.29261064529419
tanh,sigmoid,20439.495894247575,922940950.9236339,24.467344999313354
tanh,tanh,20424.873854452653,922343430.4829744,24.53359079360962
tanh,softplus,3482.84550129301,29669359.995723564,24.61952781677246
softplus,linear,3747.0092225452786,34390036.24911122,23.993130445480347
softplus,relu,3855.99427826711,36371265.6782102,25.285885095596313
softplus,sigmoid,20581.188597494645,928753282.5983142,25.295473098754883
softplus,tanh,20427.139967733903,922436005.7740623,24.950133800506592
softplus,softplus,3722.063880882369,33724780.35364162,25.086595058441162
