n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,explained_variance_score,max_error,mean_absolute_percentage_error,mean_squared_log_error,mean_squared_log_error(squared=False),test_score,train_score
50,,2,1,sqrt,6379789.854072984,1069.0520614122593,2525.824588935856,0.9873771593847247,0.9873771726495815,30977.559999999998,0.07508047820909815,0.019357606642351366,0.1391316162572381,0.9873771593847247,0.9981025321511673
50,,2,1,log2,6379789.854072984,1069.0520614122593,2525.824588935856,0.9873771593847247,0.9873771726495815,30977.559999999998,0.07508047820909815,0.019357606642351366,0.1391316162572381,0.9873771593847247,0.9981025321511673
50,,2,2,sqrt,6235762.065974053,1203.1109404685994,2497.150789594824,0.9876621279894794,0.9876621341365727,30972.948892959284,0.09377340519702053,0.022597815153799557,0.15032569691772446,0.9876621279894794,0.9938588208396757
50,,2,2,log2,6235762.065974053,1203.1109404685994,2497.150789594824,0.9876621279894794,0.9876621341365727,30972.948892959284,0.09377340519702053,0.022597815153799557,0.15032569691772446,0.9876621279894794,0.9938588208396757
50,,2,10,sqrt,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,,2,10,log2,8626388.730978483,1666.4886844368586,2937.0714548642636,0.9829321133568325,0.982932123617731,31895.021083539126,0.14779185674241582,0.039063690570769596,0.19764536566985222,0.9829321133568325,0.9846996096861481
50,,5,1,sqrt,5895798.151262176,1074.4941178863116,2428.126469371432,0.988334769315998,0.9883351208194764,31210.26683333332,0.07755112963224554,0.01901309287275447,0.13788797218305326,0.988334769315998,0.9956184119529801
50,,5,1,log2,5895798.151262176,1074.4941178863116,2428.126469371432,0.988334769315998,0.9883351208194764,31210.26683333332,0.07755112963224554,0.01901309287275447,0.13788797218305326,0.988334769315998,0.9956184119529801
50,,5,2,sqrt,6003846.228002726,1150.3490924529701,2450.2747250058974,0.9881209889748458,0.988121022403394,29556.359402384987,0.08705303200190022,0.02083664475412705,0.144349037939735,0.9881209889748458,0.993755283421345
50,,5,2,log2,6003846.228002726,1150.3490924529701,2450.2747250058974,0.9881209889748458,0.988121022403394,29556.359402384987,0.08705303200190022,0.02083664475412705,0.144349037939735,0.9881209889748458,0.993755283421345
