technique,k_neighbors or k_neighbors,X_train_shape,X_test_shape,y_train_shape,y_test_shape,mse,mae,mape,rmse,r2,test_score,train_score,execution_time
smote,1,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8202294.505921961,1077.449768989601,0.0695985312915385,2863.9648227452026,0.9840196656416287,0.9840196656416287,0.9977397446988646,83.8935112953186
smote,2,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8105410.245408619,1073.4729512331862,0.06949902174601394,2847.0002187229666,0.9842084229309395,0.9842084229309395,0.9974880518016874,85.60526823997498
smote,3,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8122997.044025403,1074.8189509805247,0.06953248744594472,2850.0871993722235,0.9841741589915032,0.9841741589915032,0.9973341429016446,87.45008134841919
smote,4,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8207757.9498287225,1080.992850663119,0.06965182685897113,2864.918489211992,0.9840090213444366,0.9840090213444366,0.997184752099445,88.14816403388977
smote,5,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8129695.446285042,1080.5711225033199,0.06962159390344315,2851.262079550921,0.9841611086544666,0.9841611086544666,0.997134532872504,88.63199710845947
smote,6,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8031619.581651118,1077.4018753600067,0.06959372623768864,2834.0112176297253,0.9843521875176072,0.9843521875176072,0.997075902628936,89.96529793739319
smote,7,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7956698.041503388,1074.090075510967,0.06951011694583971,2820.7619611557775,0.9844981553637191,0.9844981553637191,0.997053539579224,87.85574531555176
smote,8,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7994394.865927969,1078.2000727862542,0.0695941986114536,2827.4360940484526,0.9844247115416132,0.9844247115416132,0.9969232061127922,89.24213743209839
smote,9,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7946969.076463064,1075.3678646405958,0.06954890949897187,2819.036905835584,0.9845171100737936,0.9845171100737936,0.9969257804829181,90.32114267349243
smote,10,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7923097.194575227,1075.2154725584755,0.06953379663966508,2814.799672192539,0.9845636190907591,0.9845636190907591,0.9968838742516307,90.23945641517639
smote,11,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7863601.311040354,1074.8971717632837,0.06953973349935122,2804.2113527764545,0.9846795334987515,0.9846795334987515,0.9968676522940677,90.17658543586731
smote,12,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8022091.350951492,1077.533043492983,0.06956664513654619,2832.3296684799056,0.9843707511417631,0.9843707511417631,0.9968457214376643,90.78574848175049
smote,13,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",8062798.760062257,1079.3447748853243,0.06962679283493207,2839.506781126303,0.9842914418694634,0.9842914418694634,0.9967797533931007,92.26471281051636
smote,14,"(330654, 36)","(60029, 36)","(330654,)","(60029,)",7945805.291837452,1074.669705328543,0.06954632842142379,2818.830482990677,0.9845193774475662,0.9845193774475662,0.9967926662844458,91.06614828109741
Adasyn,1,"(330655, 36)","(60029, 36)","(330655,)","(60029,)",7679971.344954129,1081.819344579915,0.06974660676270629,2771.2761221058663,0.985037295373085,0.985037295373085,0.9976515744025103,123.14239144325256
Adasyn,2,"(330665, 36)","(60029, 36)","(330665,)","(60029,)",7931254.189199666,1100.9443954531473,0.0701768493987206,2816.2482470832833,0.9845477270130771,0.9845477270130771,0.9975867618858248,149.03103160858154
Adasyn,3,"(330647, 36)","(60029, 36)","(330647,)","(60029,)",7743339.866613039,1084.273948357823,0.0697875902142322,2782.685729041826,0.9849138359967881,0.9849138359967881,0.9976473729688677,163.95334720611572
Adasyn,4,"(330653, 36)","(60029, 36)","(330653,)","(60029,)",7878307.320456337,1088.534203928632,0.06986200116835938,2806.832257270879,0.9846508821320669,0.9846508821320669,0.9975885854243787,151.57352352142334
Adasyn,5,"(330646, 36)","(60029, 36)","(330646,)","(60029,)",7873980.245713177,1086.6278018840246,0.0698032064370876,2806.061340333311,0.9846593124683757,0.9846593124683757,0.9975837115654425,151.6452693939209
