model name ,encoding,mae,mse,rmse,r2,explained_variance_score,max_error,mean_absolute_percentage_error,mean_squared_log_error,mean_squared_log_error(squared=False),test_score,train_score
random forest,data_to_one_hot,843.0085962109812,4768919.130378531,2183.785504663526,0.9905724772204141,0.9905735036398343,43954.13,0.05857156916624487,0.014931370429925636,0.12219398688121129,0.9905724772204141,0.9986093310433317
random forest,data_label_encoding,862.4871292588273,4972864.561163126,2229.992054058293,0.9901693040606374,0.9901710260046025,42265.07,0.05936538961784118,0.015211562783248806,0.12333516442300146,0.9901693040606374,0.9985682716688157
linear regression,data_to_one_hot,4469.0619761340295,45476835.109641545,6743.651467094184,0.9100983079774748,0.9100986475160889,40637.71644866218,0.41703564662595083,N/A,N/A,0.9100983079774748,0.9104086923328844
linear regression,data_label_encoding,4469.061976134027,45476835.109641545,6743.651467094184,0.9100983079774748,0.9100986475160889,40637.71644866229,0.41703564662595066,N/A,N/A,0.9100983079774748,0.9104086923328844
gradiant boosting,data_to_one_hot,2723.4541742682613,19942277.952898514,4465.677770831491,0.960576752396541,0.9605773561046492,47128.38350649026,0.20255688690595205,0.0665026197244897,0.2578810185424466,0.960576752396541,0.9607535213610215
gradiant boosting,data_label_encoding,2723.4541742682577,19942277.952898536,4465.677770831493,0.960576752396541,0.9605773561046491,47128.383506490085,0.20255688690595045,0.06650261972448918,0.2578810185424456,0.960576752396541,0.9607535213610215
lasso,data_to_one_hot,4469.007126667542,45476850.939321734,6743.652640766852,0.9100982766842893,0.9100986161442355,40636.56020794832,0.4170135419243189,N/A,N/A,N/A,N/A
lasso,data_label_encoding,4469.0069206448625,45476850.87843419,6743.652636252418,0.9100982768046559,0.9100986162651548,40636.56495618983,0.41701351002950066,N/A,N/A,N/A,N/A
